id,type,building_name,floor,x,y
2,path,Nolte Ctr,0B,-93.23334442729167,44.97764202629228
3,path,Nolte Ctr,0B,-93.23403199960678,44.97791025912501
5,path,Nolte Ctr,0B,-93.23435624471193,44.97748360963408
6,path,Nolte Ctr,0B,-93.23440302358205,44.97742082797531
7,path,Nolte Ctr,0B,-93.23437554771077,44.977410255272346
8,path,Nolte Ctr,0B,-93.23438397300983,44.97739876687626
9,path,Williamson Hall,02,-93.23502009252039,44.976933705088804
10,path,Williamson Hall,02,-93.23490988270976,44.97714015947902
11,path,Williamson Hall,02,-93.2346858015554,44.977189840216006
12,path,Williamson Hall,02,-93.23449312909662,44.977266367695655
13,path,Williamson Hall,02,-93.23445570707852,44.97730708076381
14,path,Williamson Hall,02,-93.23444399125059,44.977302535979724
15,path,Williamson Hall,02,-93.23436668133893,44.97732724696793
16,path,Williamson Hall,02,-93.23432531302177,44.97735413056903
17,path,Williamson Hall,02,-93.23505095234535,44.97794601650267
18,path,Williamson Hall,02,-93.23494262720018,44.97790207453261
19,path,Williamson Hall,02,-93.2349012741544,44.97790772558709
20,path,Williamson Hall,02,-93.23469931760715,44.97740281853944
21,path,Folwell Hall,0B,-93.2340111721669,44.97793577369482
22,path,Folwell Hall,0B,-93.23397172444783,44.97798641771832
23,path,Folwell Hall,0B,-93.23400640211275,44.97800080491357
24,path,Folwell Hall,0B,-93.23399247103933,44.97801856951399
25,path,10 Church Street Bldg,0B,-93.23324517872415,44.97776516481013
27,path,Jones Hall,0B,-93.23506033524849,44.97794956739318
28,path,Jones Hall,0B,-93.23509251559692,44.97791308751147
29,path,Jones Hall,0B,-93.23514833780698,44.97790133995264
30,path,Jones Hall,0B,-93.23519158270477,44.97791773582544
31,path,Jones Hall,0B,-93.23521008171141,44.97789552113876
32,path,Jones Hall,0B,-93.23524084272168,44.9779067158575
33,path,Pillsbury Hall,0B,-93.2347492540555,44.977175028966904
34,path,Pillsbury Hall,0B,-93.23482992456464,44.97704020626333
35,path,Pillsbury Hall,0B,-93.234626428305,44.97697881196376
36,path,Pillsbury Hall,0B,-93.23463839566122,44.976958994504784
37,path,Pillsbury Hall,0B,-93.23466036216486,44.976965360544874
38,path,Carlson School of Management,0L,-93.24471195054373,44.971009197813935
39,path,Carlson School of Management,0L,-93.24471504434158,44.97074119326744
40,path,Carlson School of Management,0L,-93.24475751219663,44.970711179125765
41,path,Carlson School of Management,0L,-93.2448141383989,44.97046987253313
42,path,Carlson School of Management,0L,-93.24503589471328,44.97053537425
44,path,Humphrey School of Public Affairs,0B,-93.24465607443476,44.971242891743294
45,path,Humphrey School of Public Affairs,0B,-93.24465460838421,44.97150734265623
46,path,Humphrey School of Public Affairs,0B,-93.2440948995717,44.97150167508299
47,path,Wilson Library,0B,-93.24382147126386,44.97150016190821
48,path,Heller Hall,0B,-93.24382138951715,44.971556706064575
49,path,Heller Hall,0B,-93.2438214506026,44.971609002353006
